Epoch	Train_Loss	Val_Loss
1	0.060397	0.016753
2	0.010539	0.006851
3	0.004619	0.002745
4	0.001645	0.000910
5	0.000618	0.000439
6	0.000351	0.000278
7	0.000272	0.000207
8	0.000247	0.000191
9	0.000207	0.000236
10	0.000190	0.000158
11	0.000194	0.000217
12	0.000186	0.000168
13	0.000163	0.000145
14	0.000166	0.000168
15	0.000154	0.000198
16	0.000156	0.000153
17	0.000151	0.000137
18	0.000156	0.000134
19	0.000144	0.000120
20	0.000138	0.000188
21	0.000137	0.000102
22	0.000136	0.000085
23	0.000133	0.000214
24	0.000133	0.000097
25	0.000129	0.000137
26	0.000132	0.000178
27	0.000132	0.000154
28	0.000121	0.000343
29	0.000134	0.000088
30	0.000126	0.000187
