# Model Parameters for Reconstruction:
# exp_name: 128_AE_
# num_qubits: 2
# d_model: 128
# use_physics_mask: False
# pooling_type: cls
# mlp_type: asymmetric_ensemble
# matrix_dim: 4
# device: cuda:0
# batch_size: 512
# epochs: 200
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: /home/gwl/DecodedTokens_backup
# labels_path: /home/gwl/label/magic_labels_for_input_for_2_qubits_mixed_2_200000_datapoints.npy
# experiment_info: {'exp_name': '128_AE_', 'timestamp': '20250827_193310', 'exp_dir': 'experiments/128_AE__20250827_193310', 'model_path': 'models/best_128_AE__20250827_193310.pth', 'log_path': 'experiments/128_AE__20250827_193310/128_AE_.csv'}
# training_started: 2025-08-27T19:33:11.086485
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.004124213941395283,0.05021832883358002,0.4425206780433655,0.6919183968259706,0.6983412,0.0001,0.0041433117876295,0.1337,0.58535,0.8833,0.99605,1.0,1.0,1.0
2,val,0.0030365861020982265,0.04305342212319374,0.5895378589630127,0.7748248913235639,0.77090555,0.0001,0.0030468399985693396,0.15295,0.65955,0.9295,0.9992,1.0,1.0,1.0
3,val,0.002805727068334818,0.04120265319943428,0.6207435727119446,0.7904227979453081,0.78792775,0.0001,0.002813447709195316,0.16055,0.68145,0.937,0.99895,1.0,1.0,1.0
4,val,0.0026535047218203545,0.039776429533958435,0.6413198113441467,0.806503526192621,0.80379057,0.0001,0.0026592791895382107,0.16485,0.70175,0.9423,0.9992,1.0,1.0,1.0
5,val,0.002379295416176319,0.03804216533899307,0.6783852577209473,0.8271598381967129,0.82423836,0.0001,0.0023813173815142364,0.17355,0.7182,0.9557,0.9996,1.0,1.0,1.0
6,val,0.0019576936028897762,0.03469453752040863,0.7353741526603699,0.8620611234105956,0.85918164,0.0001,0.0019542162481229752,0.187,0.75695,0.97235,0.9999,1.0,1.0,1.0
7,val,0.0016994565958157182,0.03220413252711296,0.7702805995941162,0.8883166248439137,0.8856896,0.0001,0.0017012277065077796,0.2037,0.7884,0.9785,0.9999,1.0,1.0,1.0
8,val,0.001314502558670938,0.028568999841809273,0.8223157525062561,0.9098222071180792,0.90785766,0.0001,0.001323669232078828,0.2264,0.837,0.9913,1.0,1.0,1.0,1.0
9,val,0.0010650678304955363,0.02593105472624302,0.8560323715209961,0.9287058436258568,0.92707485,0.0001,0.0010715603595599533,0.24385,0.87745,0.99635,1.0,1.0,1.0,1.0
10,val,0.0009370734915137291,0.024315960705280304,0.8733336925506592,0.9386235643954411,0.9371711,0.0001,0.0009401291172252968,0.2599,0.9004,0.99845,1.0,1.0,1.0,1.0
11,val,0.0008143495651893318,0.02270313911139965,0.889922559261322,0.9480649935835507,0.94669724,0.0001,0.0008180116259609349,0.27665,0.9228,0.99945,1.0,1.0,1.0,1.0
12,val,0.0006966677610762417,0.020993398502469063,0.9058298468589783,0.9529836555093124,0.95179516,0.0001,0.0006989458852331154,0.29615,0.941,0.99995,1.0,1.0,1.0,1.0
