# Model Parameters for Reconstruction:
# exp_name: 128_Attention_attention_enhanced
# num_qubits: 2
# d_model: 128
# use_physics_mask: False
# pooling_type: attention
# mlp_type: attention_enhanced
# matrix_dim: 4
# device: cuda:0
# batch_size: 512
# epochs: 200
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: Rawdata/DecodedTokens
# labels_path: Rawdata/label/magic_labels_for_input_for_2_qubits_mixed_2_200000_datapoints.npy
# experiment_info: {'exp_name': '128_Attention_attention_enhanced', 'timestamp': '20250815_120257', 'exp_dir': 'experiments/128_Attention_attention_enhanced_20250815_120257', 'model_path': 'models/best_128_Attention_attention_enhanced_20250815_120257.pth', 'log_path': 'experiments/128_Attention_attention_enhanced_20250815_120257/128_Attention_attention_enhanced.csv'}
# training_started: 2025-08-15T12:02:57.812740
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.005933742504566908,0.06035048887133598,0.19572943449020386,0.6129594413810634,0.60442376,0.0001,0.005914485186804086,0.111,0.50685,0.80635,0.98825,0.99965,1.0,1.0
2,val,0.00317722768522799,0.044293906539678574,0.5693526268005371,0.7627653209772259,0.7629223,0.0001,0.0031519886804744603,0.1453,0.6436,0.9245,0.999,1.0,1.0,1.0
3,val,0.0029234776739031076,0.04165710508823395,0.6037463545799255,0.7928570103617195,0.7867433,0.0001,0.0028918975847773256,0.1617,0.6842,0.9318,0.998,1.0,1.0,1.0
4,val,0.002439135918393731,0.038639772683382034,0.6693949699401855,0.82023704948278,0.8186544,0.0001,0.0024242046027211474,0.16385,0.71155,0.9528,0.99945,1.0,1.0,1.0
5,val,0.0018645671661943197,0.033672187477350235,0.7472730875015259,0.8678515195082785,0.8679389,0.0001,0.00186024576833006,0.19305,0.77525,0.9727,1.0,1.0,1.0,1.0
6,val,0.0014289884129539132,0.02962820790708065,0.8063122034072876,0.9023420850845336,0.9016631,0.0001,0.0014291495404904707,0.21945,0.8282,0.98665,1.0,1.0,1.0,1.0
7,val,0.001100080320611596,0.026165887713432312,0.8508930206298828,0.9235687882261923,0.92298424,0.0001,0.0011052155823563226,0.2438,0.87355,0.9954,1.0,1.0,1.0,1.0
8,val,0.0009092977270483971,0.02374853566288948,0.8767520785331726,0.9373748731900562,0.93653613,0.0001,0.0009085651647183113,0.2706,0.90445,0.9981,1.0,1.0,1.0,1.0
9,val,0.000857627484947443,0.023321203887462616,0.8837555646896362,0.9443474288811297,0.94317424,0.0001,0.0008557823166484013,0.26385,0.9124,0.9991,1.0,1.0,1.0,1.0
10,val,0.0007090207072906196,0.021078182384371758,0.9038980007171631,0.9535291350158697,0.9525375,0.0001,0.000705253571504727,0.3006,0.9354,0.9998,1.0,1.0,1.0,1.0
11,val,0.0008116294629871845,0.022571483626961708,0.8899902105331421,0.954127710431497,0.952826,0.0001,0.0008113384785247036,0.281,0.91925,0.99905,1.0,1.0,1.0,1.0
12,val,0.0005664567579515278,0.01881531998515129,0.9232214093208313,0.9618319573512842,0.96088326,0.0001,0.0005677066939824727,0.3371,0.9621,0.9999,1.0,1.0,1.0,1.0
13,val,0.0005311076529324055,0.018233446404337883,0.9280126690864563,0.9646896789264567,0.9635687,0.0001,0.0005309221480274573,0.34745,0.9675,0.9999,1.0,1.0,1.0,1.0
14,val,0.0005126984906382859,0.017902636900544167,0.9305078983306885,0.9658736863393294,0.96504223,0.0001,0.000513087728904793,0.3512,0.9706,1.0,1.0,1.0,1.0,1.0
