# Model Parameters for Reconstruction:
# exp_name: 128_CLS_attention_enhanced
# num_qubits: 2
# d_model: 128
# use_physics_mask: False
# pooling_type: cls
# mlp_type: attention_enhanced
# matrix_dim: 4
# device: cuda:0
# batch_size: 512
# epochs: 200
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: Rawdata/DecodedTokens
# labels_path: Rawdata/label/magic_labels_for_input_for_2_qubits_mixed_2_200000_datapoints.npy
# experiment_info: {'exp_name': '128_CLS_attention_enhanced', 'timestamp': '20250810_214428', 'exp_dir': 'experiments/128_CLS_attention_enhanced_20250810_214428', 'model_path': 'models/best_128_CLS_attention_enhanced_20250810_214428.pth', 'log_path': 'experiments/128_CLS_attention_enhanced_20250810_214428/128_CLS_attention_enhanced.csv'}
# training_started: 2025-08-10T21:44:29.773080
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.007350272499024868,0.07218799740076065,0.003730297088623047,0.3646245981750756,0.33253455,0.0001,0.007400645792949944,0.074,0.3659,0.7255,0.9934,1.0,1.0,1.0
2,val,0.0035391361452639103,0.04652232676744461,0.5202988386154175,0.7232576020500419,0.7301668,0.0001,0.003512618673266843,0.1395,0.61995,0.9075,0.99755,1.0,1.0,1.0
3,val,0.003100376110523939,0.043545570224523544,0.5797692537307739,0.7668237323308693,0.7668683,0.0001,0.003077779454179108,0.1492,0.6522,0.92775,0.99855,1.0,1.0,1.0
4,val,0.0028899095486849546,0.04140428453683853,0.608296275138855,0.7857560563389594,0.78309876,0.0001,0.0028705092263408005,0.1612,0.68585,0.93365,0.99845,1.0,1.0,1.0
5,val,0.002606949768960476,0.039637383073568344,0.6466491222381592,0.8082002217333659,0.8048545,0.0001,0.0025856993452180177,0.16375,0.70155,0.94635,0.99885,1.0,1.0,1.0
6,val,0.002334113698452711,0.03785652667284012,0.6836298704147339,0.8309663289894945,0.8279745,0.0001,0.002313799972762354,0.17025,0.71675,0.95665,0.9996,1.0,1.0,1.0
7,val,0.002365942345932126,0.037754472345113754,0.6793157458305359,0.8544141851227046,0.8508141,0.0001,0.002341134220478125,0.1786,0.72125,0.95435,0.9998,1.0,1.0,1.0
8,val,0.0017701282631605864,0.033188097178936005,0.7600734829902649,0.8761751526478283,0.8739471,0.0001,0.0017538821994094178,0.1924,0.77725,0.9787,1.0,1.0,1.0,1.0
9,val,0.0014565271558240056,0.030079610645771027,0.8025795817375183,0.8983128289855802,0.8961774,0.0001,0.0014457470562774688,0.2149,0.8167,0.9873,1.0,1.0,1.0,1.0
10,val,0.0012252945452928543,0.027611901983618736,0.8339213132858276,0.9150913575818042,0.91386133,0.0001,0.0012199688208056614,0.2307,0.8517,0.99405,1.0,1.0,1.0,1.0
