# Model Parameters for Reconstruction:
# exp_name: 128_STD
# num_qubits: 2
# d_model: 128
# use_physics_mask: False
# pooling_type: cls
# mlp_type: standard
# matrix_dim: 4
# device: cuda:0
# batch_size: 512
# epochs: 200
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: /home/gwl/DecodedTokens_backup
# labels_path: /home/gwl/label/magic_labels_for_input_for_2_qubits_mixed_2_200000_datapoints.npy
# experiment_info: {'exp_name': '128_STD', 'timestamp': '20250827_193433', 'exp_dir': 'experiments/128_STD_20250827_193433', 'model_path': 'models/best_128_STD_20250827_193433.pth', 'log_path': 'experiments/128_STD_20250827_193433/128_STD.csv'}
# training_started: 2025-08-27T19:34:33.712277
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.007418246474117041,0.07229844480752945,-0.002741098403930664,0.5551525249431617,0.5161789,0.0001,0.00742850914830342,0.07485,0.3642,0.7304,0.99005,0.99995,1.0,1.0
2,val,0.003600939642637968,0.04648229852318764,0.5132529139518738,0.7118222017484097,0.72271746,0.0001,0.0036133466230239717,0.1471,0.6258,0.90565,0.99735,1.0,1.0,1.0
3,val,0.0031165650580078363,0.043283868581056595,0.5787268877029419,0.7621878718899064,0.76088256,0.0001,0.003122516762232408,0.1528,0.65825,0.92555,0.9985,1.0,1.0,1.0
4,val,0.0032949780579656363,0.045513544231653214,0.5546104311943054,0.783811021380992,0.7807083,0.0001,0.0033000035502482204,0.1368,0.62365,0.92075,0.99905,1.0,1.0,1.0
5,val,0.002975208917632699,0.04319777339696884,0.5978343486785889,0.8007141336833107,0.7966156,0.0001,0.0029828637663740663,0.14495,0.6482,0.9362,0.99945,1.0,1.0,1.0
6,val,0.0027019022963941097,0.04109868034720421,0.6347777843475342,0.8229522719522061,0.8192608,0.0001,0.0027072168595623225,0.15505,0.6706,0.94605,0.9996,1.0,1.0,1.0
7,val,0.002103665145114064,0.035850413143634796,0.7156428098678589,0.8494057861753305,0.84622586,0.0001,0.002104216444422491,0.1831,0.7429,0.96575,0.9998,1.0,1.0,1.0
8,val,0.0018474727403372526,0.03392140939831734,0.7502729892730713,0.8709826463634948,0.8684163,0.0001,0.001846443218528293,0.18855,0.76335,0.9771,0.99995,1.0,1.0,1.0
9,val,0.0015643959632143378,0.03129654377698898,0.7885370850563049,0.8935782603564889,0.8921139,0.0001,0.001562807842856273,0.2031,0.7986,0.9863,1.0,1.0,1.0,1.0
10,val,0.0014707656810060143,0.0305493101477623,0.8011932969093323,0.9127153408335558,0.91086704,0.0001,0.001466351150884293,0.2044,0.812,0.98995,1.0,1.0,1.0,1.0
11,val,0.0010898788459599018,0.026053475216031075,0.852678656578064,0.9248257067820769,0.92388827,0.0001,0.0010908490774454549,0.24635,0.87235,0.9959,1.0,1.0,1.0,1.0
12,val,0.0011282190680503845,0.026680011302232742,0.8474960923194885,0.9349869016390153,0.9334025,0.0001,0.0011280879727564753,0.2327,0.86705,0.9957,1.0,1.0,1.0,1.0
13,val,0.0009024739265441895,0.02384769544005394,0.8780105710029602,0.9421522734965042,0.94092345,0.0001,0.000901395155233331,0.26475,0.90575,0.9982,1.0,1.0,1.0,1.0
14,val,0.0007994544575922191,0.022344985976815224,0.8919359445571899,0.9476302932471014,0.9462755,0.0001,0.0007978371257195249,0.2836,0.92255,0.99905,1.0,1.0,1.0,1.0
15,val,0.0008161749574355781,0.022716516628861427,0.8896757960319519,0.9522021175766505,0.9505404,0.0001,0.0008120956757920794,0.27995,0.91855,0.99965,1.0,1.0,1.0,1.0
16,val,0.0006818021065555513,0.02063547447323799,0.907839298248291,0.9556384898487178,0.9543742,0.0001,0.0006796010653488338,0.3118,0.9401,0.99995,1.0,1.0,1.0,1.0
17,val,0.0006444395985454321,0.020088572055101395,0.9128896594047546,0.9580044263864356,0.95666045,0.0001,0.0006427582513424568,0.3159,0.94835,0.99995,1.0,1.0,1.0,1.0
18,val,0.0007399108144454658,0.021842150017619133,0.89998459815979,0.9608172896451468,0.9594344,0.0001,0.0007355490350164473,0.28215,0.9358,0.99995,1.0,1.0,1.0,1.0
