# Model Parameters for Reconstruction:
# exp_name: 2_128_cls_moe
# num_qubits: 2
# d_model: 128
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 4
# device: cuda:0
# batch_size: 512
# epochs: 200
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: Rawdata/DecodedTokens
# labels_path: Rawdata/label/magic_labels_for_input_for_2_qubits_mixed_2_200000_datapoints.npy
# experiment_info: {'exp_name': '2_128_cls_moe', 'timestamp': '20250817_202509', 'exp_dir': 'experiments/2_128_cls_moe_20250817_202509', 'model_path': 'models/best_2_128_cls_moe_20250817_202509.pth', 'log_path': 'experiments/2_128_cls_moe_20250817_202509/2_128_cls_moe.csv'}
# training_started: 2025-08-17T20:25:10.192007
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.0038742267061024904,0.04850779473781586,0.47488003969192505,0.6900139888118152,0.69330287,0.0001,0.003860495949629694,0.1372,0.60655,0.8935,0.99635,0.99995,1.0,1.0
2,val,0.0032999974209815264,0.045215122401714325,0.5527122020721436,0.7674356808641619,0.7637043,0.0001,0.0032764157629571857,0.1417,0.63,0.9199,0.9987,1.0,1.0,1.0
3,val,0.0029539610259234905,0.04244908690452576,0.5996146202087402,0.7811939999533087,0.77768594,0.0001,0.0029259146365802737,0.1554,0.6626,0.93245,0.99915,1.0,1.0,1.0
4,val,0.0027770642191171646,0.041107866913080215,0.6235915422439575,0.7942365952906116,0.79016936,0.0001,0.0027504552737809716,0.1605,0.6805,0.93965,0.99915,1.0,1.0,1.0
5,val,0.0028512028511613607,0.04101548716425896,0.6135426759719849,0.8094198192279233,0.8059646,0.0001,0.0028232551965629684,0.16765,0.68945,0.93445,0.99845,1.0,1.0,1.0
6,val,0.0023787871468812227,0.037849705666303635,0.6775747537612915,0.826735258642069,0.8242543,0.0001,0.002350607980042696,0.17565,0.7219,0.9539,0.99945,1.0,1.0,1.0
7,val,0.002154112793505192,0.03617200255393982,0.7080274820327759,0.8482332460459204,0.8446827,0.0001,0.0021338428079616277,0.18065,0.7398,0.96275,0.9997,1.0,1.0,1.0
8,val,0.001842396566644311,0.03369031846523285,0.750278115272522,0.8716679266792067,0.86790794,0.0001,0.00182791703264229,0.19195,0.7702,0.9744,0.9998,1.0,1.0,1.0
9,val,0.0013445144286379218,0.029029620811343193,0.817762017250061,0.9068183132535472,0.9043369,0.0001,0.0013379333802731707,0.2222,0.83525,0.9915,1.0,1.0,1.0,1.0
10,val,0.0011402909876778722,0.026837395504117012,0.8454428315162659,0.9213933486617759,0.9199499,0.0001,0.0011341008823364974,0.23355,0.86375,0.9966,1.0,1.0,1.0,1.0
11,val,0.0009264273685403168,0.024273816496133804,0.8744302988052368,0.9368255072492992,0.9357273,0.0001,0.0009214865756803192,0.2574,0.90155,0.9989,1.0,1.0,1.0,1.0
12,val,0.0008259287569671869,0.022938529029488564,0.8880520462989807,0.9455130663067515,0.9440366,0.0001,0.0008260258837253787,0.27045,0.91975,0.99955,1.0,1.0,1.0,1.0
13,val,0.0006875918479636312,0.02079162187874317,0.9068025350570679,0.9532734702925505,0.95248914,0.0001,0.0006882001413032413,0.3034,0.94205,0.9998,1.0,1.0,1.0,1.0
14,val,0.0006254196050576866,0.019916841760277748,0.9152294397354126,0.9582174535181363,0.95751166,0.0001,0.0006250639125937596,0.31225,0.95445,1.0,1.0,1.0,1.0,1.0
15,val,0.0005512458737939596,0.018625561147928238,0.9252830743789673,0.9633308814604421,0.9626414,0.0001,0.0005523148975044023,0.33535,0.96525,0.99985,1.0,1.0,1.0,1.0
16,val,0.0005036560469307005,0.017741244286298752,0.9317334890365601,0.9661948685408822,0.96546185,0.0001,0.0005067920494184364,0.35455,0.97255,0.99995,1.0,1.0,1.0,1.0
17,val,0.0004635946825146675,0.01697971299290657,0.9371635317802429,0.9692934077790939,0.9685688,0.0001,0.0004670700029237196,0.37105,0.97675,0.99995,1.0,1.0,1.0,1.0
18,val,0.00044141116086393595,0.016624001786112785,0.9401702880859375,0.9703509627031329,0.96975136,0.0001,0.0004435032838955522,0.37365,0.9799,0.99995,1.0,1.0,1.0,1.0
19,val,0.0004266845644451678,0.016281869262456894,0.9421663880348206,0.9715412078771686,0.9709312,0.0001,0.0004296197323128581,0.3836,0.98165,0.99995,1.0,1.0,1.0,1.0
20,val,0.0003982698835898191,0.015790658071637154,0.9460177421569824,0.9733826353828122,0.9727193,0.0001,0.00040170776192098855,0.3927,0.98595,0.99995,1.0,1.0,1.0,1.0
21,val,0.00037020546733401716,0.01512124203145504,0.9498216509819031,0.9751636389574954,0.97460485,0.0001,0.0003714093123562634,0.4123,0.9877,1.0,1.0,1.0,1.0,1.0
22,val,0.0003630907158367336,0.01506869774311781,0.9507859945297241,0.9758392584378446,0.9751687,0.0001,0.0003657895402284339,0.40765,0.9895,1.0,1.0,1.0,1.0,1.0
23,val,0.0003466956259217113,0.01470352802425623,0.953008234500885,0.9774142401267815,0.97681856,0.0001,0.0003490229311864823,0.41955,0.99055,1.0,1.0,1.0,1.0,1.0
24,val,0.000348899164237082,0.014611097984015942,0.9527095556259155,0.9778831242834756,0.9773615,0.0001,0.00035238076161476785,0.42795,0.9896,0.99995,1.0,1.0,1.0,1.0
25,val,0.0003413477388676256,0.01448332704603672,0.9537330865859985,0.9781936632054887,0.97758347,0.0001,0.0003447025635978207,0.43075,0.9906,1.0,1.0,1.0,1.0,1.0
26,val,0.0003260877274442464,0.014225983992218971,0.9558014869689941,0.9786492661420482,0.97809434,0.0001,0.00032940030869212935,0.4313,0.9921,1.0,1.0,1.0,1.0,1.0
27,val,0.00032500841189175844,0.014154460281133652,0.955947756767273,0.9792924291997327,0.9787999,0.0001,0.0003275169539847411,0.4395,0.99165,0.99995,1.0,1.0,1.0,1.0
28,val,0.0003067165962420404,0.013854185119271278,0.9584270715713501,0.9805421998115336,0.97984076,0.0001,0.000309848796314327,0.4389,0.9939,1.0,1.0,1.0,1.0,1.0
29,val,0.0002927506575360894,0.013374220579862595,0.9603200554847717,0.9808205269021,0.9803627,0.0001,0.0002961436846817378,0.46175,0.99405,1.0,1.0,1.0,1.0,1.0
30,val,0.00028877827571704984,0.013298367150127888,0.9608584642410278,0.9810517681394304,0.98048323,0.0001,0.0002911757546826266,0.4659,0.9942,1.0,1.0,1.0,1.0,1.0
31,val,0.00028331903740763664,0.013165466487407684,0.9615983963012695,0.9815929025225115,0.98105925,0.0001,0.0002871490924007958,0.46655,0.9942,1.0,1.0,1.0,1.0,1.0
32,val,0.0003098216257058084,0.013825930655002594,0.9580062031745911,0.9807051781786782,0.98020864,0.0001,0.00031143756859819405,0.44675,0.9933,1.0,1.0,1.0,1.0,1.0
