# Model Parameters for Reconstruction:
# exp_name: 3q_128_cls_moe_128h
# num_qubits: 3
# d_model: 128
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 20
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 4
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_128_cls_moe_128h', 'timestamp': '20250902_181548', 'exp_dir': 'experiments/3q_128_cls_moe_128h_20250902_181548', 'model_path': 'models/best_3q_128_cls_moe_128h_20250902_181548.pth', 'log_path': 'experiments/3q_128_cls_moe_128h_20250902_181548/3q_128_cls_moe_128h.csv'}
# training_started: 2025-09-02T18:15:48.618789
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.02054782025516033,0.12767232954502106,-0.1666867733001709,-0.05454782296619681,0.010072947,0.0001,0.020541460253298283,0.029,0.136,0.356,0.85,1.0,1.0,1.0
2,val,0.018148532137274742,0.11969068646430969,-0.030457377433776855,-0.01907901873889344,0.030679747,0.0001,0.018137354403734207,0.02,0.162,0.395,0.889,1.0,1.0,1.0
3,val,0.017768314108252525,0.11750204861164093,-0.008868932723999023,0.059197440833911194,0.10483737,0.0001,0.01775552239269018,0.03,0.174,0.41,0.894,1.0,1.0,1.0
4,val,0.017857620492577553,0.11812510341405869,-0.013939619064331055,0.07498544638090929,0.120551355,0.0001,0.017845315858721733,0.023,0.172,0.401,0.892,1.0,1.0,1.0
5,val,0.017665326595306396,0.11656918376684189,-0.0030213594436645508,0.10622100465779383,0.14517203,0.0001,0.017651746980845928,0.035,0.185,0.418,0.889,1.0,1.0,1.0
6,val,0.017604511231184006,0.11498995870351791,0.0004316568374633789,0.13290120076508558,0.16177934,0.0001,0.01758945919573307,0.037,0.197,0.434,0.884,0.998,1.0,1.0
7,val,0.017666881904006004,0.116614930331707,-0.0031096935272216797,0.13773286725071465,0.17164283,0.0001,0.0176533879712224,0.033,0.185,0.417,0.888,1.0,1.0,1.0
8,val,0.01779434271156788,0.1177147850394249,-0.010346770286560059,0.1488465793621558,0.18788178,0.0001,0.01778171956539154,0.029,0.173,0.402,0.89,1.0,1.0,1.0
9,val,0.017670167610049248,0.11405276507139206,-0.0032962560653686523,0.2182940590213456,0.22763194,0.0001,0.017654028721153736,0.046,0.208,0.437,0.883,0.996,1.0,1.0
10,val,0.017616644501686096,0.11602068692445755,-0.00025725364685058594,0.22202300063349564,0.2277481,0.0001,0.017602672800421715,0.036,0.187,0.425,0.884,1.0,1.0,1.0
11,val,0.017655396834015846,0.1165676862001419,-0.0024576187133789062,0.24834628214182086,0.24900302,0.0001,0.017641888931393623,0.033,0.185,0.417,0.89,1.0,1.0,1.0
12,val,0.017607299610972404,0.11593441665172577,0.0002733469009399414,0.29141320132805343,0.2863092,0.0001,0.01759326085448265,0.037,0.187,0.424,0.884,1.0,1.0,1.0
13,val,0.01760757714509964,0.11448001116514206,0.0002576112747192383,0.3680998523212248,0.33529788,0.0001,0.017592044547200203,0.041,0.205,0.432,0.883,0.996,1.0,1.0
14,val,0.01761305145919323,0.11615677922964096,-5.328655242919922e-05,0.428031384145386,0.39030552,0.0001,0.01759924180805683,0.036,0.189,0.422,0.886,1.0,1.0,1.0
15,val,0.017587970942258835,0.11584915965795517,0.001370847225189209,0.4691771017043034,0.43109572,0.0001,0.017573917284607887,0.038,0.187,0.426,0.886,1.0,1.0,1.0
16,val,0.01755768619477749,0.11482490599155426,0.003090381622314453,0.5261358404392147,0.47509938,0.0001,0.01754270028322935,0.037,0.197,0.434,0.885,0.998,1.0,1.0
17,val,0.017572766169905663,0.11408206075429916,0.002234160900115967,0.5619918268515819,0.47696716,0.0001,0.01755703240633011,0.043,0.206,0.436,0.884,0.996,1.0,1.0
18,val,0.017615802586078644,0.11678756773471832,-0.00020945072174072266,0.547717573792254,0.42901805,0.0001,0.017602882348001003,0.029,0.18,0.416,0.895,1.0,1.0,1.0
19,val,0.01740926131606102,0.11531762033700943,0.011517763137817383,0.5037002622335646,0.39371055,0.0001,0.017395532689988613,0.036,0.189,0.427,0.891,1.0,1.0,1.0
20,val,0.01728910766541958,0.11573098599910736,0.018339991569519043,0.4582391902391903,0.38482285,0.0001,0.017276874743402004,0.027,0.175,0.415,0.903,1.0,1.0,1.0
final,test,0.016973251476883888,0.1143672838807106,0.030105412006378174,0.48362612888052087,0.41418314,0.0001,,0.034,0.181,0.427,0.908,1.0,1.0,1.0
