# Model Parameters for Reconstruction:
# exp_name: 3q_d2048_h4_moe
# num_qubits: 3
# d_model: 2048
# use_physics_mask: False
# pooling_type: cls
# mlp_type: mixture_of_experts
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 100
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1.0
# dummy_test: False
# nhead: 4
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_d2048_h4_moe', 'timestamp': '20250902_211142', 'exp_dir': 'experiments/3q_d2048_h4_moe_20250902_211142', 'model_path': 'models/best_3q_d2048_h4_moe_20250902_211142.pth', 'log_path': 'experiments/3q_d2048_h4_moe_20250902_211142/3q_d2048_h4_moe.csv'}
# training_started: 2025-09-02T21:11:43.345608
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.018682127818465233,0.12187467515468597,-0.06075441837310791,0.273498538881259,0.189207,0.0001,0.01867237314581871,0.024,0.148,0.38,0.887,1.0,1.0,1.0
2,val,0.017850780859589577,0.11807283014059067,-0.01355123519897461,0.35667914973614373,0.35497758,0.0001,0.017838374711573124,0.027,0.172,0.402,0.892,1.0,1.0,1.0
3,val,0.01760706678032875,0.11558885127305984,0.0002865791320800781,0.43241411646420297,0.38909066,0.0001,0.017592569813132286,0.035,0.189,0.429,0.883,1.0,1.0,1.0
4,val,0.017846057191491127,0.11808145046234131,-0.013283133506774902,0.6260921756567777,0.44693953,0.0001,0.017833702266216278,0.025,0.171,0.401,0.892,1.0,1.0,1.0
5,val,0.018181880936026573,0.11991631984710693,-0.032350897789001465,0.5110232642058805,0.44309664,0.0001,0.018170984461903572,0.02,0.16,0.394,0.892,1.0,1.0,1.0
6,val,0.01837773248553276,0.12081004679203033,-0.04347121715545654,0.5786534933332959,0.540368,0.0001,0.01836775615811348,0.027,0.148,0.39,0.89,1.0,1.0,1.0
7,val,0.016499504446983337,0.11310704052448273,0.06317299604415894,0.45806323543742516,0.44115663,0.0001,0.016487100161612034,0.031,0.174,0.435,0.916,1.0,1.0,1.0
8,val,0.025357985869050026,0.13422653079032898,-0.43980371952056885,0.6075530955530957,0.5837935,0.0001,0.025363510474562645,0.042,0.217,0.397,0.747,0.978,1.0,1.0
9,val,0.010671400465071201,0.08324818313121796,0.3940874934196472,0.6729566289566291,0.64668834,0.0001,0.010660179890692234,0.071,0.357,0.655,0.949,0.999,1.0,1.0
10,val,0.009751507081091404,0.07903627306222916,0.44631820917129517,0.6816887496887497,0.6712173,0.0001,0.009740541689097881,0.075,0.383,0.686,0.954,0.998,1.0,1.0
11,val,0.01059805415570736,0.08573479950428009,0.398252010345459,0.6845689445689446,0.67836666,0.0001,0.010589471086859703,0.063,0.302,0.628,0.959,0.998,1.0,1.0
12,val,0.00946524553000927,0.07690311968326569,0.4625718593597412,0.6840349680349681,0.6824236,0.0001,0.009447988588362932,0.091,0.405,0.713,0.954,0.998,1.0,1.0
13,val,0.009294986724853516,0.07651645690202713,0.47223901748657227,0.6958355518355518,0.6924286,0.0001,0.00927880359813571,0.085,0.394,0.709,0.953,0.998,1.0,1.0
14,val,0.008881784044206142,0.07614537328481674,0.49570024013519287,0.7128009969393999,0.7054896,0.0001,0.008867932483553886,0.077,0.383,0.703,0.966,1.0,1.0,1.0
15,val,0.007991653867065907,0.07101443409919739,0.546241044998169,0.7529448209448211,0.7445816,0.0001,0.00797884608618915,0.101,0.436,0.74,0.972,0.999,1.0,1.0
16,val,0.012265193276107311,0.09688311815261841,0.30359333753585815,0.7344281904281905,0.7269196,0.0001,0.012254465837031603,0.042,0.212,0.539,0.971,1.0,1.0,1.0
17,val,0.009876888245344162,0.07963651418685913,0.43919914960861206,0.7090195450195451,0.69260246,0.0001,0.00985695468261838,0.069,0.381,0.682,0.957,1.0,1.0,1.0
18,val,0.00908026471734047,0.0780852660536766,0.484430730342865,0.7310954150954151,0.70731425,0.0001,0.009067493956536055,0.076,0.359,0.682,0.966,1.0,1.0,1.0
19,val,0.00791568960994482,0.06903640925884247,0.5505542755126953,0.7909655389655391,0.7830874,0.0001,0.007907830411568284,0.107,0.47,0.744,0.969,0.999,1.0,1.0
20,val,0.0074922130443155766,0.0683380514383316,0.5745989084243774,0.7721875505041133,0.7612982,0.0001,0.0074750385247170925,0.085,0.45,0.762,0.972,1.0,1.0,1.0
21,val,0.006497213151305914,0.06256692856550217,0.6310940980911255,0.8012520092520093,0.79912704,0.0001,0.006486035883426666,0.101,0.492,0.79,0.979,1.0,1.0,1.0
22,val,0.005473494995385408,0.057446639984846115,0.6892198324203491,0.8346290346290347,0.83705163,0.0001,0.005467419512569904,0.121,0.528,0.839,0.989,0.999,1.0,1.0
23,val,0.005585033446550369,0.0575123131275177,0.6828868389129639,0.8507816147816148,0.8560097,0.0001,0.005565521772950888,0.117,0.539,0.839,0.983,0.999,1.0,1.0
24,val,0.0054887584410607815,0.05785996839404106,0.6883531808853149,0.8348402253447461,0.83898485,0.0001,0.005470439558848739,0.116,0.531,0.831,0.991,0.999,1.0,1.0
25,val,0.004885316826403141,0.054220352321863174,0.7226160764694214,0.8488638328638328,0.8576265,0.0001,0.00488293613307178,0.118,0.556,0.852,0.991,1.0,1.0,1.0
26,val,0.004711211193352938,0.05292033404111862,0.7325016260147095,0.8646954246954247,0.87365985,0.0001,0.00469811400398612,0.125,0.558,0.857,0.99,0.999,1.0,1.0
27,val,0.0061233267188072205,0.06340096145868301,0.6523230075836182,0.8701793821793822,0.8730667,0.0001,0.00612451508641243,0.08,0.454,0.812,0.99,1.0,1.0,1.0
28,val,0.004730475600808859,0.05390454828739166,0.731407880783081,0.8833267633267633,0.8906847,0.0001,0.004732625558972359,0.132,0.55,0.857,0.994,1.0,1.0,1.0
29,val,0.0031780533026903868,0.043246276676654816,0.819553017616272,0.893098037098037,0.90595174,0.0001,0.0031719227554276586,0.157,0.666,0.919,0.997,1.0,1.0,1.0
30,val,0.003724124049767852,0.04755648225545883,0.7885475754737854,0.8961968961968964,0.90464246,0.0001,0.003717043437063694,0.152,0.616,0.901,0.998,1.0,1.0,1.0
31,val,0.004006356932222843,0.05002212896943092,0.7725226879119873,0.8936344496344496,0.9026233,0.0001,0.004007447510957718,0.126,0.587,0.883,0.999,1.0,1.0,1.0
32,val,0.003146376693621278,0.04313066229224205,0.8213515281677246,0.8985646065646067,0.9105834,0.0001,0.0031442431500181556,0.149,0.675,0.913,0.999,1.0,1.0,1.0
33,val,0.0032793236896395683,0.04438496381044388,0.81380295753479,0.9031311511311512,0.91419935,0.0001,0.0032781773479655385,0.158,0.649,0.908,0.999,1.0,1.0,1.0
34,val,0.0034721309784799814,0.04574401676654816,0.8028554916381836,0.8972495732495733,0.9069957,0.0001,0.0034653543261811137,0.148,0.627,0.908,0.997,1.0,1.0,1.0
35,val,0.0033384838607162237,0.04514968395233154,0.8104438781738281,0.902019062019062,0.91297793,0.0001,0.0033321738010272384,0.148,0.636,0.917,0.999,1.0,1.0,1.0
36,val,0.002706193597987294,0.04011523351073265,0.8463447690010071,0.9073466593466594,0.92125493,0.0001,0.0027038351399824023,0.163,0.712,0.943,0.999,1.0,1.0,1.0
37,val,0.0030022587161511183,0.0415695421397686,0.8295344114303589,0.9052076572076572,0.9174264,0.0001,0.0030006758170202374,0.169,0.694,0.928,0.998,1.0,1.0,1.0
38,val,0.004310966935008764,0.052020370960235596,0.7552271485328674,0.8916092556092557,0.8994267,0.0001,0.004312243079766631,0.127,0.575,0.878,0.998,1.0,1.0,1.0
39,val,0.003144329646602273,0.04338837042450905,0.8214677572250366,0.9021720501720502,0.91293305,0.0001,0.003143360372632742,0.164,0.667,0.923,0.999,1.0,1.0,1.0
40,val,0.002812428865581751,0.04123906046152115,0.8403128385543823,0.9103661383661386,0.92238086,0.0001,0.002807514858432114,0.169,0.678,0.938,1.0,1.0,1.0,1.0
41,val,0.0028692276682704687,0.04083109274506569,0.837087869644165,0.901881925881926,0.91513735,0.0001,0.0028663650155067444,0.165,0.696,0.929,0.998,1.0,1.0,1.0
42,val,0.002883217064663768,0.040848374366760254,0.8362935185432434,0.9083453243453244,0.9179529,0.0001,0.0028823866741731763,0.151,0.697,0.927,0.999,1.0,1.0,1.0
43,val,0.002949552144855261,0.041019439697265625,0.8325271010398865,0.9096088176088175,0.9225435,0.0001,0.0029484310653060675,0.17,0.699,0.924,0.996,1.0,1.0,1.0
44,val,0.002654686337336898,0.039440806955099106,0.8492692708969116,0.909873285873286,0.92223155,0.0001,0.0026507502188906074,0.178,0.709,0.944,0.998,1.0,1.0,1.0
45,val,0.0026753912679851055,0.03967641666531563,0.8480936884880066,0.9096092136092139,0.9229262,0.0001,0.002674026880413294,0.169,0.713,0.937,0.999,1.0,1.0,1.0
46,val,0.0025693224743008614,0.03899296373128891,0.8541162014007568,0.9131741531741533,0.9247999,0.0001,0.0025677697267383337,0.182,0.712,0.95,1.0,1.0,1.0,1.0
47,val,0.002514409366995096,0.03807646036148071,0.8572341203689575,0.9152607632607633,0.92646164,0.0001,0.0025124320527538657,0.179,0.733,0.947,0.998,1.0,1.0,1.0
48,val,0.0024666618555784225,0.038059212267398834,0.8599451780319214,0.9156389676389678,0.9276545,0.0001,0.0024654108565300703,0.182,0.717,0.949,1.0,1.0,1.0,1.0
49,val,0.002624722197651863,0.0391029454767704,0.8509706258773804,0.9116757236757238,0.92357856,0.0001,0.0026232044911012053,0.165,0.715,0.942,0.999,1.0,1.0,1.0
50,val,0.0027113405521959066,0.040182195603847504,0.8460525274276733,0.9092672492672493,0.92263633,0.0001,0.0027077257400378585,0.177,0.694,0.946,1.0,1.0,1.0,1.0
51,val,0.002554573118686676,0.03846030682325363,0.8549536466598511,0.9155811515811517,0.9248963,0.0001,0.002552963560447097,0.172,0.717,0.944,0.998,1.0,1.0,1.0
52,val,0.0025871440302580595,0.03860868141055107,0.853104293346405,0.9161848121848122,0.927284,0.0001,0.0025867403019219637,0.179,0.728,0.941,0.998,1.0,1.0,1.0
53,val,0.002780661918222904,0.040640104562044144,0.8421165347099304,0.9122620682620685,0.9228095,0.0001,0.0027759061194956303,0.165,0.691,0.937,1.0,1.0,1.0,1.0
54,val,0.00255970424041152,0.038543686270713806,0.854662299156189,0.9130637290637291,0.9261152,0.0001,0.0025588548742234707,0.166,0.734,0.944,0.999,1.0,1.0,1.0
55,val,0.002501441864296794,0.038678206503391266,0.8579703569412231,0.9166777726777728,0.92875826,0.0001,0.0024994355626404285,0.17,0.699,0.956,1.0,1.0,1.0,1.0
56,val,0.00256840861402452,0.03880758583545685,0.8541680574417114,0.9125690885690886,0.9249442,0.0001,0.00256517855450511,0.176,0.709,0.952,1.0,1.0,1.0,1.0
57,val,0.00265366374514997,0.03971878066658974,0.8493273854255676,0.9117755637755638,0.92463803,0.0001,0.0026508658193051815,0.165,0.707,0.949,1.0,1.0,1.0,1.0
58,val,0.0031321169808506966,0.043373338878154755,0.8221611976623535,0.9118556878556878,0.9223205,0.0001,0.003133309888653457,0.142,0.667,0.924,0.999,1.0,1.0,1.0
59,val,0.002405688865110278,0.03745287284255028,0.8634071350097656,0.918167394167394,0.929295,0.0001,0.0024043151643127203,0.181,0.729,0.951,1.0,1.0,1.0,1.0
60,val,0.0027725105173885822,0.039739206433296204,0.8425793647766113,0.9164158244158244,0.92752516,0.0001,0.0027740560472011566,0.173,0.714,0.932,0.997,1.0,1.0,1.0
61,val,0.002843976952135563,0.039928704500198364,0.8385215401649475,0.9138780858780859,0.92555416,0.0001,0.0028443682240322232,0.18,0.718,0.93,0.993,1.0,1.0,1.0
62,val,0.0025629305746406317,0.03862203285098076,0.8544790744781494,0.9161798081798083,0.92836475,0.0001,0.0025636208010837436,0.165,0.73,0.94,1.0,1.0,1.0,1.0
63,val,0.0024539639707654715,0.037705209106206894,0.8606661558151245,0.9172242532242534,0.9277215,0.0001,0.002453358960337937,0.173,0.731,0.949,0.999,1.0,1.0,1.0
64,val,0.00257365801371634,0.03862056881189346,0.8538700342178345,0.9143180150609692,0.9266634,0.0001,0.0025738594122231007,0.189,0.714,0.942,1.0,1.0,1.0,1.0
65,val,0.002839775523170829,0.04133619740605354,0.8387600779533386,0.9153942033942034,0.92772746,0.0001,0.0028366224141791463,0.165,0.666,0.934,1.0,1.0,1.0,1.0
66,val,0.0024366811849176884,0.037711091339588165,0.8616474270820618,0.917015645015645,0.92852426,0.0001,0.002436115173622966,0.171,0.736,0.946,0.999,1.0,1.0,1.0
67,val,0.002426407765597105,0.03760719671845436,0.8622307777404785,0.9165360405360407,0.9294461,0.0001,0.0024258282501250505,0.181,0.733,0.946,0.999,1.0,1.0,1.0
68,val,0.0029336276929825544,0.041149333119392395,0.8334312438964844,0.9149620469620471,0.9274087,0.0001,0.002936032833531499,0.167,0.692,0.931,0.993,1.0,1.0,1.0
69,val,0.0037520683836191893,0.048529136925935745,0.7869609594345093,0.9076374823603949,0.9141843,0.0001,0.003745941910892725,0.141,0.598,0.898,0.999,1.0,1.0,1.0
70,val,0.0026780625339597464,0.03946990892291069,0.8479419946670532,0.9149891069891071,0.9265913,0.0001,0.0026764515787363052,0.174,0.709,0.934,0.998,1.0,1.0,1.0
71,val,0.0025161036755889654,0.038625940680503845,0.85713791847229,0.9188113055677395,0.9296871,7e-05,0.002513947430998087,0.18,0.708,0.951,1.0,1.0,1.0,1.0
72,val,0.0024192719720304012,0.037298593670129776,0.8626359105110168,0.9193889233889233,0.9302495,7e-05,0.0024183945497497916,0.179,0.75,0.949,0.999,1.0,1.0,1.0
73,val,0.0027698883786797523,0.040218207985162735,0.8427282571792603,0.9195093795093796,0.9283695,7e-05,0.0027705173706635833,0.163,0.711,0.931,0.998,1.0,1.0,1.0
74,val,0.002436917508020997,0.03780580312013626,0.8616340160369873,0.9165834765834766,0.9296673,7e-05,0.002435465226881206,0.181,0.731,0.949,1.0,1.0,1.0,1.0
75,val,0.0025442850310355425,0.03793733939528465,0.8555377721786499,0.9181327981327984,0.9269892,7e-05,0.0025442695477977395,0.181,0.733,0.945,0.999,1.0,1.0,1.0
76,val,0.0024167862720787525,0.037280187010765076,0.862777054309845,0.920014376014376,0.93020093,7e-05,0.002416386967524886,0.17,0.754,0.948,0.998,1.0,1.0,1.0
77,val,0.002402364043518901,0.03708489611744881,0.8635959625244141,0.9189395829395831,0.9301961,7e-05,0.002400391036644578,0.181,0.738,0.948,0.999,1.0,1.0,1.0
78,val,0.002409465378150344,0.037176795303821564,0.8631927371025085,0.9186783666783668,0.92912626,7e-05,0.0024072907399386168,0.181,0.732,0.95,0.999,1.0,1.0,1.0
79,val,0.002396624069660902,0.036992259323596954,0.8639218211174011,0.9193779673779674,0.9297821,7e-05,0.0023943628184497356,0.19,0.745,0.952,0.998,1.0,1.0,1.0
80,val,0.002450979547575116,0.03746689483523369,0.8608355522155762,0.9177989697989699,0.92864275,7e-05,0.00245050888042897,0.17,0.746,0.954,0.999,1.0,1.0,1.0
81,val,0.0024525197222828865,0.03714544698596001,0.8607481718063354,0.9188967788967789,0.9302694,7e-05,0.0024518718710169196,0.184,0.749,0.949,0.998,1.0,1.0,1.0
82,val,0.0025868103839457035,0.039210762828588486,0.8531232476234436,0.9197538677538679,0.9300859,7e-05,0.002584078465588391,0.178,0.699,0.943,0.999,1.0,1.0,1.0
83,val,0.0024603819474577904,0.03804445639252663,0.8603017330169678,0.9195152355152356,0.92996716,7e-05,0.002458221628330648,0.182,0.722,0.951,1.0,1.0,1.0,1.0
84,val,0.0023502421099692583,0.03678280487656593,0.8665553331375122,0.9197561597561598,0.93103814,7e-05,0.0023486450081691146,0.197,0.745,0.952,0.999,1.0,1.0,1.0
85,val,0.0024597838055342436,0.03789057582616806,0.8603357076644897,0.9174782214782214,0.9281601,7e-05,0.0024586390936747193,0.181,0.725,0.951,0.999,1.0,1.0,1.0
86,val,0.002503629308193922,0.03835146129131317,0.857846200466156,0.9198259038259038,0.9299114,7e-05,0.0025013884296640754,0.189,0.708,0.952,1.0,1.0,1.0,1.0
87,val,0.0024844335857778788,0.03768901154398918,0.858936071395874,0.9161659601659602,0.9280466,7e-05,0.0024827218148857355,0.174,0.732,0.953,0.998,1.0,1.0,1.0
88,val,0.0024276203475892544,0.037214964628219604,0.8621618747711182,0.9202154689761156,0.93062294,7e-05,0.0024267883272841573,0.177,0.748,0.946,0.998,1.0,1.0,1.0
89,val,0.002465669997036457,0.03767653554677963,0.8600014448165894,0.9155810315810318,0.9281534,7e-05,0.0024651659186929464,0.174,0.739,0.949,0.999,1.0,1.0,1.0
90,val,0.002532865386456251,0.03847947716712952,0.8561861515045166,0.9190778590778591,0.93017423,7e-05,0.0025300612905994058,0.189,0.7,0.95,0.999,1.0,1.0,1.0
91,val,0.002482510171830654,0.037539031356573105,0.8590453267097473,0.9172902292902293,0.9293952,7e-05,0.002480833209119737,0.174,0.749,0.945,0.998,1.0,1.0,1.0
