# Model Parameters for Reconstruction:
# exp_name: 3q_d2048_h8_asym
# num_qubits: 3
# d_model: 2048
# use_physics_mask: False
# pooling_type: cls
# mlp_type: asymmetric_ensemble
# matrix_dim: 8
# device: cuda:0
# batch_size: 512
# epochs: 100
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1.0
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: Decoded_Tokens
# labels_path: Label/magic_labels_for_input_for_3_qubits_mixed_10000_datapoints.npy
# experiment_info: {'exp_name': '3q_d2048_h8_asym', 'timestamp': '20250903_125041', 'exp_dir': 'experiments/3q_d2048_h8_asym_20250903_125041', 'model_path': 'models/best_3q_d2048_h8_asym_20250903_125041.pth', 'log_path': 'experiments/3q_d2048_h8_asym_20250903_125041/3q_d2048_h8_asym.csv'}
# training_started: 2025-09-03T12:50:42.853859
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.017640067264437675,0.11614515632390976,-0.0015871524810791016,nan,nan,0.0001,0.017626062035560608,0.036,0.188,0.422,0.885,1.0,1.0,1.0
2,val,0.01765095442533493,0.1163962110877037,-0.002205371856689453,0.2556396081021757,0.25606313,0.0001,0.017637183889746666,0.036,0.189,0.42,0.886,1.0,1.0,1.0
3,val,0.017657706514000893,0.11640475690364838,-0.0025887489318847656,nan,nan,0.0001,0.017643923871219158,0.036,0.189,0.42,0.885,1.0,1.0,1.0
4,val,0.01761370152235031,0.11550018191337585,-9.012222290039062e-05,0.027647140824103546,0.011097642,0.0001,0.01759909652173519,0.034,0.188,0.428,0.886,0.998,1.0,1.0
5,val,0.017664534971117973,0.11649361997842789,-0.0029764175415039062,nan,nan,0.0001,0.01765083335340023,0.037,0.188,0.418,0.886,1.0,1.0,1.0
6,val,0.017637450248003006,0.11444408446550369,-0.0014386177062988281,0.41295252520273606,0.42621642,0.0001,0.017621704377233982,0.043,0.206,0.43,0.88,0.996,1.0,1.0
7,val,0.017933174967765808,0.11857658624649048,-0.01822948455810547,0.19705403048689787,0.19775766,0.0001,0.017921151593327522,0.024,0.168,0.397,0.892,1.0,1.0,1.0
8,val,0.017647061496973038,0.1144714280962944,-0.0019843578338623047,0.04153679752030932,0.03371529,0.0001,0.01763131469488144,0.042,0.207,0.43,0.879,0.996,1.0,1.0
9,val,0.01779075711965561,0.11777926981449127,-0.010143160820007324,0.7049853655851513,0.65182734,0.0001,0.017778211273252964,0.029,0.172,0.403,0.892,1.0,1.0,1.0
10,val,0.017648639157414436,0.11360117793083191,-0.0020738840103149414,0.7237684713043997,0.66737497,0.0001,0.017632153816521168,0.042,0.216,0.442,0.885,0.996,1.0,1.0
