experiment_name,r2_score,d_model,nhead,epochs,mlp_type,mse,mae,spearman,pearson,timestamp
3q_d1024_h8_moe_20250902_211047,0.8884,1024,8,100,mixture_of_experts,0.001953,0.03374,0.9314,0.9427,20250902_211047
3q_d1024_h4_moe_20250902_210914,0.8865,1024,4,100,mixture_of_experts,0.001987,0.03414,0.9324,0.9425,20250902_210914
3q_d512_h8_moe_20250902_204025,0.8851,512,8,100,mixture_of_experts,0.002011,0.03458,0.9315,0.9417,20250902_204025
3q_d512_h4_moe_20250902_203848,0.8821,512,4,100,mixture_of_experts,0.002063,0.03467,0.9316,0.9392,20250902_203848
3q_d2048_h4_moe_20250902_211142,0.8815,2048,4,100,mixture_of_experts,0.002074,0.03493,0.9278,0.9393,20250902_211142
3q_d2048_h8_asym_20250903_125041,0.8803,2048,8,100,asymmetric_ensemble,0.002095,0.03488,0.9273,0.9386,20250903_125041
3q_512_cls_moe_4h_20250902_182736,0.8425,512,4,20,mixture_of_experts,0.002756,0.04026,0.9113,0.9197,20250902_182736
3q_512_cls_moe_4h_20250902_183252,0.8291,512,64,20,mixture_of_experts,0.002991,0.04301,0.9058,0.9182,20250902_183252
3q_256_cls_moe_64h_20250902_181813,0.5954,256,32,20,mixture_of_experts,0.007081,0.06565,0.7818,0.7793,20250902_181813
3q_128_cls_moe_128h_20250902_181548,0.0301,128,4,20,mixture_of_experts,0.016973,0.11437,0.4836,0.4142,20250902_181548
3q_128_cls_moe_64h_20250902_180043,0.0000,128,64,20,mixture_of_experts,0.017500,0.11498,0.7974,0.7631,20250902_180043
3q_128_cls_moe_128h_20250902_180934,-0.0016,128,128,20,mixture_of_experts,0.017529,0.11473,0.7508,0.7324,20250902_180934
3q_128_cls_moe_16h_20250902_175135,-0.0027,128,16,20,mixture_of_experts,0.017547,0.11478,0.7458,0.7262,20250902_175135
