# Model Parameters for Reconstruction:
# exp_name: 64_CLS_asymmetric_ensemble
# num_qubits: 2
# d_model: 64
# use_physics_mask: False
# pooling_type: cls
# mlp_type: asymmetric_ensemble
# matrix_dim: 4
# device: cuda:0
# batch_size: 512
# epochs: 100
# lr: 0.0001
# train_ratio: 0.8
# val_ratio: 0.1
# pytorch_version: 2.5.1+cu121
# mask_threshold: 1
# dummy_test: False
# nhead: 8
# use_cls_token: True
# data_folder: /home/gwl/DURF/Transformer/dataset/Decoded_Tokens
# labels_path: /home/gwl/DURF/Transformer/dataset/Label/magic_labels_for_input_for_2_qubits_mixed_1_200000_datapoints.npy
# experiment_info: {'exp_name': '64_CLS_asymmetric_ensemble', 'timestamp': '20250810_024658', 'exp_dir': 'experiments/64_CLS_asymmetric_ensemble_20250810_024658', 'model_path': 'models/best_64_CLS_asymmetric_ensemble_20250810_024658.pth', 'log_path': 'experiments/64_CLS_asymmetric_ensemble_20250810_024658/64_CLS_asymmetric_ensemble.csv'}
# training_started: 2025-08-10T02:46:59.667144
#
epoch,split,mse,mae,r2,spearman,pearson,lr,loss,acc@0.01,acc@0.05,acc@0.1,acc@0.2,acc@0.3,acc@0.4,acc@0.5
1,val,0.00735597824677825,0.07226402312517166,0.0029569268226623535,0.1659157473703705,0.12204127,0.0001,0.0074129322194494305,0.07415,0.3663,0.7239,0.9945,1.0,1.0,1.0
2,val,0.006203099619597197,0.06492990255355835,0.15922021865844727,0.43242163343176293,0.40464878,0.0001,0.006253350840415806,0.0855,0.4294,0.7917,0.99335,0.9999,1.0,1.0
3,val,0.0036340297665446997,0.04741963371634483,0.5074368119239807,0.7307941672622129,0.7338669,0.0001,0.0036028426955454053,0.1359,0.6105,0.90525,0.9979,1.0,1.0,1.0
4,val,0.003267487743869424,0.04435437172651291,0.5571185946464539,0.7510561343034984,0.7515737,0.0001,0.0032382410776335747,0.15305,0.6476,0.91805,0.9982,1.0,1.0,1.0
5,val,0.003132975660264492,0.043360691517591476,0.5753505825996399,0.7641524417279412,0.76324314,0.0001,0.003102414871682413,0.15795,0.6574,0.92285,0.9982,1.0,1.0,1.0
6,val,0.0030564910266548395,0.04340773820877075,0.5857174396514893,0.774988350942579,0.7731676,0.0001,0.003029600827721879,0.1506,0.65,0.9306,0.9991,1.0,1.0,1.0
7,val,0.002900258405134082,0.04214128479361534,0.6068935394287109,0.7841308662676773,0.7820059,0.0001,0.0028721087670419364,0.1562,0.66615,0.93595,0.9992,1.0,1.0,1.0
8,val,0.0027900137938559055,0.04099465161561966,0.6218363046646118,0.7913445585536376,0.7886788,0.0001,0.002756106702145189,0.1603,0.6841,0.9378,0.99895,1.0,1.0,1.0
9,val,0.0027440658304840326,0.040477458387613297,0.6280641555786133,0.798830737055681,0.79554504,0.0001,0.002716908432194032,0.16225,0.6919,0.93785,0.9988,1.0,1.0,1.0
10,val,0.0025980910286307335,0.039499931037425995,0.6478499174118042,0.8111804891176667,0.8082279,0.0001,0.0025711007649078963,0.16335,0.70205,0.94355,0.9992,1.0,1.0,1.0
11,val,0.0024276163894683123,0.03873838111758232,0.6709563136100769,0.8262124889897224,0.8235311,0.0001,0.0024003026250284166,0.1652,0.70595,0.955,0.9996,1.0,1.0,1.0
12,val,0.0021501195151358843,0.036349330097436905,0.708568811416626,0.8447956668686489,0.8426601,0.0001,0.002130522465449758,0.17545,0.7404,0.9642,0.99965,1.0,1.0,1.0
13,val,0.001898809801787138,0.03403910994529724,0.7426317930221558,0.8678568140999943,0.86583304,0.0001,0.0018808280292432755,0.1882,0.76475,0.9731,0.9998,1.0,1.0,1.0
14,val,0.0016871974803507328,0.03254001587629318,0.7713140845298767,0.8854600740397425,0.8838321,0.0001,0.0016780326928710564,0.19295,0.7853,0.98245,1.0,1.0,1.0,1.0
15,val,0.0013924124650657177,0.029453393071889877,0.8112698197364807,0.9022086213724819,0.900905,0.0001,0.0013817547107464634,0.2136,0.831,0.9892,1.0,1.0,1.0,1.0
