Epoch	Train_Loss	Val_Loss
1	0.038217	0.006678
2	0.015769	0.007220
3	0.012202	0.006661
4	0.008985	0.003800
5	0.005509	0.001718
6	0.002814	0.000528
7	0.001811	0.000250
8	0.001547	0.000195
9	0.001518	0.000251
10	0.001479	0.000147
11	0.001464	0.000125
12	0.001441	0.000135
13	0.001415	0.000139
14	0.001367	0.000183
15	0.001325	0.000787
16	0.001307	0.000168
17	0.001253	0.000238
18	0.001257	0.000118
19	0.001250	0.000186
20	0.001259	0.000122
21	0.001252	0.000269
22	0.001245	0.000115
23	0.001245	0.000160
24	0.001227	0.000241
25	0.001217	0.000203
26	0.001223	0.000123
27	0.001232	0.000216
28	0.001237	0.000213
29	0.001215	0.000187
30	0.001229	0.000335
31	0.001225	0.000192
32	0.001222	0.000170
33	0.001223	0.000193
34	0.001207	0.000111
35	0.001227	0.000259
36	0.001214	0.000160
37	0.001211	0.000157
38	0.001225	0.000189
39	0.001215	0.000175
40	0.001233	0.000253
41	0.001232	0.000110
42	0.001218	0.000219
43	0.001235	0.000178
44	0.001198	0.000162
45	0.001209	0.000260
46	0.001236	0.000175
47	0.001221	0.000162
48	0.001233	0.000356
49	0.001206	0.000093
50	0.001210	0.000221
