Epoch	Train_Loss	Val_Loss
1	0.025521	0.007123
2	0.005762	0.005538
3	0.004645	0.003618
4	0.001949	0.000573
5	0.000135	0.000008
6	0.000003	0.000002
7	0.000020	0.000023
8	0.000035	0.000008
9	0.000039	0.000011
10	0.000021	0.000019
11	0.000028	0.000042
12	0.000030	0.000002
13	0.000012	0.000010
14	0.000026	0.000003
15	0.000014	0.000024
16	0.000020	0.000046
17	0.000028	0.000008
18	0.000016	0.000001
19	0.000015	0.000005
20	0.000019	0.000000
21	0.000013	0.000009
22	0.000014	0.000012
23	0.000014	0.000018
24	0.000017	0.000001
25	0.000013	0.000011
26	0.000017	0.000005
27	0.000018	0.000021
28	0.000029	0.000000
29	0.000002	0.000035
30	0.000017	0.000045
