sample_id,S_rho_bits,purity_scalar,Hinf_bits,r_bloch_A,s_bloch_B,T_corr,CHSH_bound_max,T_fro_norm,C_rel_bits,C_conc,N_neg
0,0.7593933957897694,0.6572747120205557,0.35767081915466964,[ 0.36389414 -0.03936622 -0.4638847 ],[-0.01766927  0.77702566  0.10994638],"[[-0.0580898   0.37901428  0.4906049 ]
 [ 0.02912175 -0.20297239 -0.01103066]
 [-0.21500654 -0.41852296 -0.11178397]]",1.613878705337046,0.8147219776565137,1.0671080679464804,0.2533204264573323,0.08046601113544849
1,2.818025553910883e-15,0.9999999999999998,-0.0,[ 0.29426879 -0.42410084 -0.25407752],[ 0.23246052 -0.45801705  0.25921714],"[[-0.43300788 -0.61832398  0.431002  ]
 [-0.66304265  0.2581822  -0.58529214]
 [-0.30968611  0.65558065  0.45590884]]",2.58378711556272,1.5290447767393733,1.6228779787157792,0.8179174351583184,0.40895872794115173
2,0.9500918222435017,0.5341929254981932,0.6648519195775865,[-0.43580159  0.16837644 -0.23594033],[0.49530141 0.0170893  0.21455264],"[[-0.14795826 -0.06131366 -0.51000503]
 [ 0.01353854 -0.3703841  -0.3156816 ]
 [ 0.05263307 -0.20334225 -0.06545869]]",1.5114570312078701,0.7557657325400445,0.9757298759378044,0.2799679065151566,0.08117341141892198
3,1.0375527654309006e-14,1.0,-0.0,[-0.22389273 -0.76994385 -0.50556996],[0.39570678 0.67261182 0.53810033],"[[ 0.09813095 -0.37634872 -0.01781678]
 [-0.26550966 -0.49826573 -0.61278622]
 [-0.42180128 -0.40491615 -0.12322785]]",2.0990069342196107,1.09677484241343,1.551006220854401,0.3185239746670051,0.1592619912875496
4,0.5374135669451633,0.7845291548009556,0.18905555797826876,[ 0.61106321  0.31320515 -0.44466259],[ 0.24246192  0.48600366 -0.36800979],"[[-0.11060111  0.40605185 -0.35172774]
 [ 0.20274503  0.43863438  0.08088216]
 [-0.46710417 -0.21059163  0.48484193]]",1.897166279836728,1.0190571820914154,1.1119470199484351,0.394194931982452,0.17037327788179668
5,7.485787894075474e-15,1.0000000000000004,-0.0,[-0.62549705 -0.16842472 -0.74771582],[ 0.3875302  -0.87881121  0.23707294],"[[-0.3039616   0.51375129 -0.23710995]
 [ 0.05360229  0.18506323 -0.1120397 ]
 [-0.27608226  0.70386645 -0.09347282]]",2.0211953041942237,1.021085319083763,1.4927540330451405,0.1459712713804171,0.07298563972487115
6,3.638837363602982e-15,0.9999999999999996,6.406853007629837e-16,[ 0.24739525  0.44587407 -0.71128576],[ 0.65714796 -0.32980852 -0.47467717],"[[ 0.12135063 -0.52945942  0.01468429]
 [ 0.13822671 -0.19367018 -0.61339498]
 [-0.79503165  0.15812248  0.28794768]]",2.2217690924970803,1.211663711674015,1.4212806914338407,0.48380209342296515,0.2419010516170944
7,2.3084977438450295e-15,1.0000000000000004,-0.0,[-0.57657501  0.49790907 -0.09068152],[ 0.62156013 -0.33009562  0.30540993],"[[-0.37843417  0.66342459 -0.40064799]
 [ 0.75919678  0.14914304  0.24640355]
 [-0.27958806  0.24085672  0.5324156 ]]",2.376067902626012,1.3501293785948028,1.6309554591997255,0.6414239246072647,0.32071196948055813
8,0.12981789785731168,0.9647284955058635,0.026143736583664593,[-0.84610664  0.03428501 -0.04899567],[-0.57614027 -0.26041914 -0.59550547],"[[ 0.65417732  0.31331083  0.63363283]
 [ 0.32733276 -0.21083681 -0.27290667]
 [-0.04361513 -0.37779104  0.29453608]]",2.1648407568315853,1.1768852960360103,1.512021724572349,0.46327731047456616,0.22944593680154157
9,2.6370453024982426e-15,1.0,-0.0,[ 0.54380553 -0.19741515  0.74897585],[-0.70603017 -0.50226095  0.38068014],"[[-0.29250176 -0.52773521  0.1897385 ]
 [ 0.04815082  0.04260978 -0.37306383]
 [-0.71759375 -0.27619556  0.27217278]]",2.1017497239676195,1.099397994858542,1.4374542127547587,0.3230138869285036,0.1615069468703214
