layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_expert_00_pre,CHSH_bound_max,scalar,50000,0.8574591230028739,0.10092925986117043,0.12970040586460543,0.9259909470166146,0.9367689574384517,
mlp_expert_00_pre,C_conc,scalar,50000,0.7464547030148972,0.09194658470591095,0.11745753571030382,0.8639764125367574,0.8607731965442453,
enc_01_post,C_rel_bits,scalar,50000,0.9718654378967657,0.04758226482830779,0.05960022503783341,0.9858354072708149,0.9869577900326713,
enc_01_post,Hinf_bits,scalar,50000,0.9737109321392008,0.024035154392558458,0.03438455452151197,0.9867698917079267,0.8757741901974821,
mlp_expert_00_pre,N_neg,scalar,50000,0.8026540425538032,0.042612298599810985,0.05477412972008115,0.8959097984695974,0.8938186684471916,
enc_00_post,S_rho_bits,scalar,50000,0.9882715802264265,0.03209063793351287,0.039591199954330365,0.9941202854607896,0.8658910748138573,
enc_03_post,T_corr,mat3x3,50000,0.960225142581244,0.0605916377132415,0.0777138450053316,,,0.22574243872441982
mlp_expert_00_pre,T_fro_norm,scalar,50000,0.8582687960420883,0.07480490116099567,0.09464563816544029,0.9264280485377487,0.9292794558435837,
enc_00_post,purity_scalar,scalar,50000,0.9972670520814487,0.006805523981353217,0.008902607117057133,0.9986340896153467,0.8737113510827083,
enc_03_post,r_bloch_A,vec3,50000,0.9560732218490521,0.06442755468179591,0.08214217824208063,,,
enc_03_post,s_bloch_B,vec3,50000,0.9568665980543828,0.06456927747863368,0.0822210606007837,,,
