layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_expert_00_pre,CHSH_bound_max,scalar,50000,0.8574591230028739,0.10092925986117043,0.12970040586460543,0.9259909470166146,0.9367689574384517,
mlp_expert_01_pre,CHSH_bound_max,scalar,50000,0.8574591230028739,0.10092925986117043,0.12970040586460543,0.9259909470166146,0.9367689574384517,
mlp_expert_02_pre,CHSH_bound_max,scalar,50000,0.8574591230028739,0.10092925986117043,0.12970040586460543,0.9259909470166146,0.9367689574384517,
mlp_gating_pre,CHSH_bound_max,scalar,50000,0.8574591230028739,0.10092925986117043,0.12970040586460543,0.9259909470166146,0.9367689574384517,
mlp_in_post,CHSH_bound_max,scalar,50000,0.8574591230028739,0.10092925986117043,0.12970040586460543,0.9259909470166146,0.9367689574384517,
enc_03_post,CHSH_bound_max,scalar,50000,0.8574280716696595,0.10094057392633109,0.12971453216751958,0.9259741803872414,0.9367574890401751,
mlp_in_pre,CHSH_bound_max,scalar,50000,0.8574280716696595,0.10094057392633109,0.12971453216751958,0.9259741803872414,0.9367574890401751,
enc_02_post,CHSH_bound_max,scalar,50000,0.8209804482396237,0.1147511185332335,0.14535228201529138,0.9060797197201504,0.914016972473127,
enc_01_post,CHSH_bound_max,scalar,50000,0.795874425082997,0.12380469256619284,0.15521022636699114,0.8921933073094193,0.8944943853813179,
mlp_gating_post,CHSH_bound_max,scalar,50000,0.6750630082282816,0.15161105596073568,0.19582638174715544,0.8216221811633502,0.8368434396734254,
enc_00_post,CHSH_bound_max,scalar,50000,0.6722324943367097,0.16243713354814085,0.19667745047529747,0.8199909836556798,0.8087340717853176,
mlp_expert_01_post,CHSH_bound_max,scalar,50000,0.18954027088159542,0.24484172079147976,0.3092696777990387,0.4353622304586412,0.45753092111770227,
mlp_expert_00_post,CHSH_bound_max,scalar,50000,0.14647157241310826,0.2503650323630617,0.31738077550923044,0.3827160468121693,0.3886945853711936,
mlp_expert_02_post,CHSH_bound_max,scalar,50000,0.05167080822010006,0.2660626341845776,0.3345424102654131,0.2273122122367201,0.21549226112272005,
mlp_expert_00_pre,C_conc,scalar,50000,0.7464547030148972,0.09194658470591095,0.11745753571030382,0.8639764125367574,0.8607731965442453,
mlp_expert_01_pre,C_conc,scalar,50000,0.7464547030148972,0.09194658470591095,0.11745753571030382,0.8639764125367574,0.8607731965442453,
mlp_expert_02_pre,C_conc,scalar,50000,0.7464547030148972,0.09194658470591095,0.11745753571030382,0.8639764125367574,0.8607731965442453,
mlp_gating_pre,C_conc,scalar,50000,0.7464547030148972,0.09194658470591095,0.11745753571030382,0.8639764125367574,0.8607731965442453,
mlp_in_post,C_conc,scalar,50000,0.7464547030148972,0.09194658470591095,0.11745753571030382,0.8639764125367574,0.8607731965442453,
enc_03_post,C_conc,scalar,50000,0.7463632672452785,0.09196597709849473,0.11747871309400008,0.8639234962402493,0.8607345424809979,
mlp_in_pre,C_conc,scalar,50000,0.7463632672452785,0.09196597709849473,0.11747871309400008,0.8639234962402493,0.8607345424809979,
enc_02_post,C_conc,scalar,50000,0.6794411594184561,0.10470618138226287,0.1320708535754052,0.8242822412459374,0.8238519842954609,
enc_01_post,C_conc,scalar,50000,0.616863539855071,0.1148098249502746,0.14438758302340404,0.78572991394881,0.7843160403422386,
mlp_gating_post,C_conc,scalar,50000,0.5205658777050602,0.1252819813572827,0.16151675309713737,0.7215025147019827,0.7175560145970065,
enc_00_post,C_conc,scalar,50000,0.40815738275920244,0.14547426350907589,0.17945527248037307,0.6392978130365181,0.6344226345093531,
mlp_expert_01_post,C_conc,scalar,50000,0.18232583915235623,0.17329455065207075,0.21093237485554311,0.4269963006498301,0.4294740005494194,
mlp_expert_00_post,C_conc,scalar,50000,0.1494995351120495,0.17660816406451005,0.21512475218531232,0.38665169746523487,0.3753587030921009,
mlp_expert_02_post,C_conc,scalar,50000,0.0723646960654879,0.18767267260129356,0.22466826925498506,0.26900691315757963,0.24328208691797207,
enc_01_post,C_rel_bits,scalar,50000,0.9718654378967657,0.04758226482830779,0.05960022503783341,0.9858354072708149,0.9869577900326713,
enc_00_post,C_rel_bits,scalar,50000,0.9680913424965725,0.050259261185923824,0.06347198577008327,0.9839275484669129,0.9848876956043231,
enc_02_post,C_rel_bits,scalar,50000,0.95217020002342,0.06152856354938477,0.07771003451776755,0.9757920891970274,0.977484721610098,
enc_03_post,C_rel_bits,scalar,50000,0.9470635657255767,0.06410400541258153,0.08175327546042623,0.9731719315405865,0.9748475857741311,
mlp_in_pre,C_rel_bits,scalar,50000,0.9470635657255767,0.06410400541258153,0.08175327546042623,0.9731719315405865,0.9748475857741311,
mlp_expert_00_pre,C_rel_bits,scalar,50000,0.9470278458886064,0.06412994751074085,0.08178085307554474,0.9731535790432657,0.9748305043063484,
mlp_expert_01_pre,C_rel_bits,scalar,50000,0.9470278458886064,0.06412994751074085,0.08178085307554474,0.9731535790432657,0.9748305043063484,
mlp_expert_02_pre,C_rel_bits,scalar,50000,0.9470278458886064,0.06412994751074085,0.08178085307554474,0.9731535790432657,0.9748305043063484,
mlp_gating_pre,C_rel_bits,scalar,50000,0.9470278458886064,0.06412994751074085,0.08178085307554474,0.9731535790432657,0.9748305043063484,
mlp_in_post,C_rel_bits,scalar,50000,0.9470278458886064,0.06412994751074085,0.08178085307554474,0.9731535790432657,0.9748305043063484,
mlp_gating_post,C_rel_bits,scalar,50000,0.4159831071946508,0.2099382250479622,0.2715441957599354,0.6449675262383207,0.6580992702336078,
mlp_expert_01_post,C_rel_bits,scalar,50000,0.09140303332485533,0.2838716391522395,0.33869864627137436,0.3023293587062683,0.3128679965623283,
mlp_expert_00_post,C_rel_bits,scalar,50000,0.07026596681299424,0.28845275145590715,0.34261563983170623,0.26507730401552654,0.2594525566496612,
mlp_expert_02_post,C_rel_bits,scalar,50000,0.02015450173904465,0.30034016632988536,0.35172773906412963,0.14196733269928757,0.1165932519502033,
enc_01_post,Hinf_bits,scalar,50000,0.9737109321392008,0.024035154392558458,0.03438455452151197,0.9867698917079267,0.8757741901974821,
enc_00_post,Hinf_bits,scalar,50000,0.9538181040058917,0.031952713505455706,0.04557342702082171,0.9766390160758719,0.8835773445014056,
enc_02_post,Hinf_bits,scalar,50000,0.9420395915344044,0.03798568988833851,0.05105538165980298,0.9705872585534032,0.8682187358450599,
mlp_expert_00_pre,Hinf_bits,scalar,50000,0.9353560743378856,0.039764508985458955,0.053918731881435256,0.9671381230444256,0.8676795482486765,
mlp_expert_01_pre,Hinf_bits,scalar,50000,0.9353560743378856,0.039764508985458955,0.053918731881435256,0.9671381230444256,0.8676795482486765,
mlp_expert_02_pre,Hinf_bits,scalar,50000,0.9353560743378856,0.039764508985458955,0.053918731881435256,0.9671381230444256,0.8676795482486765,
mlp_gating_pre,Hinf_bits,scalar,50000,0.9353560743378856,0.039764508985458955,0.053918731881435256,0.9671381230444256,0.8676795482486765,
mlp_in_post,Hinf_bits,scalar,50000,0.9353560743378856,0.039764508985458955,0.053918731881435256,0.9671381230444256,0.8676795482486765,
enc_03_post,Hinf_bits,scalar,50000,0.935315363084519,0.039779422954858826,0.05393570759597789,0.9671170757453893,0.8676322886483153,
mlp_in_pre,Hinf_bits,scalar,50000,0.935315363084519,0.039779422954858826,0.05393570759597789,0.9671170757453893,0.8676322886483153,
mlp_gating_post,Hinf_bits,scalar,50000,0.552031596335955,0.10877550766418255,0.14193826751130237,0.7429882899898059,0.7177138156112881,
mlp_expert_01_post,Hinf_bits,scalar,50000,0.1073056783103492,0.16108065187393317,0.20036746078871084,0.3275754679418721,0.33476621541420204,
mlp_expert_00_post,Hinf_bits,scalar,50000,0.07139963496297996,0.16671429776982088,0.2043573363741742,0.26720710532382996,0.27056544475523203,
mlp_expert_02_post,Hinf_bits,scalar,50000,0.008859920031219493,0.17647488694560193,0.21112678172425536,0.09412850876514971,0.09114249083209452,
mlp_expert_00_pre,N_neg,scalar,50000,0.8026540425538032,0.042612298599810985,0.05477412972008115,0.8959097984695974,0.8938186684471916,
mlp_expert_01_pre,N_neg,scalar,50000,0.8026540425538032,0.042612298599810985,0.05477412972008115,0.8959097984695974,0.8938186684471916,
mlp_expert_02_pre,N_neg,scalar,50000,0.8026540425538032,0.042612298599810985,0.05477412972008115,0.8959097984695974,0.8938186684471916,
mlp_gating_pre,N_neg,scalar,50000,0.8026540425538032,0.042612298599810985,0.05477412972008115,0.8959097984695974,0.8938186684471916,
mlp_in_post,N_neg,scalar,50000,0.8026540425538032,0.042612298599810985,0.05477412972008115,0.8959097984695974,0.8938186684471916,
enc_03_post,N_neg,scalar,50000,0.8025788818179839,0.042621754831466394,0.05478455930282167,0.8958678514326477,0.8937926935005251,
mlp_in_pre,N_neg,scalar,50000,0.8025788818179839,0.042621754831466394,0.05478455930282167,0.8958678514326477,0.8937926935005251,
enc_02_post,N_neg,scalar,50000,0.7405044973621926,0.04943472290488553,0.06280963743365921,0.8605257165344707,0.8610646237971619,
enc_01_post,N_neg,scalar,50000,0.683903525428965,0.05445411387170545,0.0693220176930456,0.8272161875457138,0.8271505912128443,
mlp_gating_post,N_neg,scalar,50000,0.5964170200970362,0.05956129429816172,0.0783299393171582,0.7722804029399696,0.7703227071092811,
enc_00_post,N_neg,scalar,50000,0.492569468478409,0.07047543814590229,0.08783137184705922,0.7021209033546494,0.6980801337210881,
mlp_expert_01_post,N_neg,scalar,50000,0.19575538446958607,0.09127640783614452,0.11057461851839263,0.4424425223169944,0.4460362365554547,
mlp_expert_00_post,N_neg,scalar,50000,0.15822289186199645,0.09342735409754926,0.1131253469798626,0.39777241220272364,0.38690227591257076,
mlp_expert_02_post,N_neg,scalar,50000,0.07078993710967674,0.100010759301166,0.11885523660546392,0.2660638300468331,0.2368017957362085,
enc_00_post,S_rho_bits,scalar,50000,0.9882715802264265,0.03209063793351287,0.039591199954330365,0.9941202854607896,0.8658910748138573,
enc_01_post,S_rho_bits,scalar,50000,0.988172510447339,0.03217695900348505,0.03975806145077596,0.9940697341860996,0.8746747397613619,
enc_03_post,S_rho_bits,scalar,50000,0.9722016761991682,0.04830032013172915,0.060952036237581136,0.9860028870298647,0.8602097806926812,
mlp_in_pre,S_rho_bits,scalar,50000,0.9722016761991682,0.04830032013172915,0.060952036237581136,0.9860028870298647,0.8602097806926812,
