layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
enc_03_post,CHSH_bound_max,scalar,50000,0.8517529823361054,0.10367980099091355,0.1324385082332331,0.9229047486540212,0.9337543746864618,
mlp_fe0_post,C_conc,scalar,50000,0.7340920322288638,0.09459418608713543,0.120417935970657,0.8567921618311201,0.8579934703333415,
enc_00_post,C_rel_bits,scalar,50000,0.964255339751493,0.053273375757527316,0.06720584078910152,0.9819756682786227,0.9828326691735492,
enc_00_post,Hinf_bits,scalar,50000,0.957732033156081,0.030165022003568548,0.04372659152007853,0.9786411070984167,0.8849378314029155,
mlp_fe0_post,N_neg,scalar,50000,0.793103334595096,0.0437366152721815,0.05616046419620274,0.8905637404189789,0.8921260993357626,
enc_00_post,S_rho_bits,scalar,50000,0.9914145781892427,0.027480963381851506,0.03392602751559331,0.9956987198174482,0.8783273927849213,
enc_02_post,T_corr,mat3x3,50000,0.9177708572383847,0.0856493590057557,0.1100090972492334,,,0.3243661579561524
mlp_fe0_post,T_fro_norm,scalar,50000,0.8478589467426786,0.07755627650783292,0.09812999645076274,0.9207926690296663,0.9261232406969134,
enc_00_post,purity_scalar,scalar,50000,0.9995276838450311,0.002744613869393782,0.003706619517200784,0.9997642977472547,0.8762048047609851,
enc_02_post,r_bloch_A,vec3,50000,0.9083114356611214,0.09197591985116432,0.11722198607970262,,,
enc_02_post,s_bloch_B,vec3,50000,0.8962286244250953,0.0988138199187581,0.12679756427523706,,,
