layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
enc_03_post,CHSH_bound_max,scalar,50000,0.8517529823361054,0.10367980099091355,0.1324385082332331,0.9229047486540212,0.9337543746864618,
mlp_in_pre,CHSH_bound_max,scalar,50000,0.8517529823361054,0.10367980099091355,0.1324385082332331,0.9229047486540212,0.9337543746864618,
mlp_fe0_post,CHSH_bound_max,scalar,50000,0.8517407317020211,0.10368894733686417,0.1324439802562505,0.9228981052346288,0.9337644834426899,
mlp_fe0_pre,CHSH_bound_max,scalar,50000,0.8517405097899092,0.10368918765527098,0.13244407937623376,0.9228979917205746,0.9337649578319701,
mlp_in_post,CHSH_bound_max,scalar,50000,0.8517405097899092,0.10368918765527098,0.13244407937623376,0.9228979917205746,0.9337649578319701,
enc_02_post,CHSH_bound_max,scalar,50000,0.8382896888645127,0.10913636759529716,0.13832164781115783,0.9155817359971695,0.922212150698645,
mlp_post_00_ln_post,CHSH_bound_max,scalar,50000,0.8245826963053606,0.11305246156050387,0.14406467813428792,0.9080661370495985,0.9180560531800545,
mlp_post_01_linear_pre,CHSH_bound_max,scalar,50000,0.8245826963053606,0.11305246156050387,0.14406467813428792,0.9080661370495985,0.9180560531800545,
mlp_fe2_pre,CHSH_bound_max,scalar,50000,0.8237299587614688,0.11272199729273212,0.14441441678706873,0.9075963950349654,0.9181806532396564,
mlp_post_00_ln_pre,CHSH_bound_max,scalar,50000,0.8209278537010719,0.11415498257075136,0.1455577444311619,0.9060514280321995,0.9164487183871235,
mlp_fe2_post,CHSH_bound_max,scalar,50000,0.8209256667030875,0.11415767179830967,0.145558633272694,0.90605034471121,0.9164512719181968,
mlp_attn_post,CHSH_bound_max,scalar,50000,0.8120264855568609,0.11726488264418891,0.14913158315705494,0.9011293435824316,0.9119225509722891,
mlp_post_01_linear_post,CHSH_bound_max,scalar,50000,0.7871014008006066,0.1251337605576218,0.15871124542446716,0.887187363925581,0.8981691207029159,
mlp_post_03_ln_pre,CHSH_bound_max,scalar,50000,0.7565154971896395,0.13294385314063975,0.1697293546639945,0.8697794388413898,0.8820871150311709,
mlp_post_03_ln_post,CHSH_bound_max,scalar,50000,0.7544555722839162,0.13348373511585657,0.17044581371813078,0.8685946325268268,0.8811491785560438,
mlp_post_05_linear_pre,CHSH_bound_max,scalar,50000,0.7544555722839162,0.13348373511585657,0.17044581371813078,0.8685946325268268,0.8811491785560438,
enc_01_post,CHSH_bound_max,scalar,50000,0.7317857915396604,0.14392929165903182,0.17814030351550456,0.8554541104577962,0.8518726346955331,
mlp_post_05_linear_post,CHSH_bound_max,scalar,50000,0.720699805280228,0.14198728073913824,0.18178452799614928,0.8489404060708273,0.8599753622852382,
mlp_post_07_linear_pre,CHSH_bound_max,scalar,50000,0.7070966321512426,0.1458197554272243,0.18615876121421626,0.8408904842718796,0.8509808328072723,
mlp_post_07_linear_post,CHSH_bound_max,scalar,50000,0.6734180026034817,0.15270157591905512,0.19657008166271875,0.8206205071976229,0.8337521377125089,
enc_00_post,CHSH_bound_max,scalar,50000,0.652640079862815,0.16734043479283675,0.20272679327413162,0.8078719726375727,0.7936664681979787,
mlp_post_09_linear_post,CHSH_bound_max,scalar,50000,0.6339459695299456,0.15990641578288212,0.20811045281343032,0.7962072405460736,0.8197286572712928,
mlp_fe0_post,C_conc,scalar,50000,0.7340920322288638,0.09459418608713543,0.120417935970657,0.8567921618311201,0.8579934703333415,
mlp_fe0_pre,C_conc,scalar,50000,0.7340916116454348,0.09459480738607554,0.1204180312024186,0.8567919478972352,0.8579944273317098,
mlp_in_post,C_conc,scalar,50000,0.7340916116454348,0.09459480738607554,0.1204180312024186,0.8567919478972352,0.8579944273317098,
enc_03_post,C_conc,scalar,50000,0.7340261521431607,0.09460179642240317,0.12043285213262808,0.8567537465748438,0.8579688995016836,
